Cores,Render_composite,Render_encode,Resolution,Base,Camera Angle,Calc Ray start,Sample Volume,Write Surface,Total Render,pixels,actual pixels,objects,rank,frame, ssp
16,0.010566,0.195082,1059,302,0,0.00106577,0.20552,0.000524982,0.20966,315552,204631,27543608,0,1,131
16,0.010566,0.195082,1059,302,0,0.00102674,0.199015,0.00053228,0.203077,315552,204631,27543608,0,2,131
16,0.010566,0.195082,1059,302,0,0.00098592,0.208443,0.000529983,0.212428,315552,204631,27543608,0,3,131
16,0.010566,0.195082,1059,302,0,0.00103383,0.221552,0.000525155,0.22544,315552,204631,27543608,0,4,131
16,0.010566,0.195082,1059,302,0,0.00109432,0.201299,0.000490589,0.20528,315552,204631,27543608,0,5,131
16,0.010566,0.195082,1059,302,0,0.000978494,0.19449,0.000500221,0.198322,315552,204631,27543608,0,6,131
16,0.010566,0.195082,1059,302,0,0.0010635,0.19978,0.000514122,0.203832,315552,204631,27543608,0,7,131
16,0.010566,0.195082,1059,302,0,0.001093,0.196317,0.000500888,0.200439,315552,204631,27543608,0,8,131
16,0.010566,0.195082,1059,302,0,0.000978723,0.219798,0.000517346,0.223792,315552,204631,27543608,0,9,131
16,0.010566,0.195082,1059,302,0,0.000861812,0.168693,0.000442322,0.171947,244590,166994,27543608,1,1,124
16,0.010566,0.195082,1059,302,0,0.000895713,0.169634,0.000436338,0.172896,244590,166994,27543608,1,2,124
16,0.010566,0.195082,1059,302,0,0.000874863,0.162844,0.000419709,0.166115,244590,166994,27543608,1,3,124
16,0.010566,0.195082,1059,302,0,0.000855459,0.161074,0.000442604,0.164304,244590,166994,27543608,1,4,124
16,0.010566,0.195082,1059,302,0,0.000842574,0.16264,0.000434239,0.165843,244590,166994,27543608,1,5,124
16,0.010566,0.195082,1059,302,0,0.000856591,0.167369,0.000435777,0.170579,244590,166994,27543608,1,6,124
16,0.010566,0.195082,1059,302,0,0.00087541,0.171206,0.000422505,0.174475,244590,166994,27543608,1,7,124
16,0.010566,0.195082,1059,302,0,0.000896159,0.163513,0.000420453,0.166751,244590,166994,27543608,1,8,124
16,0.010566,0.195082,1059,302,0,0.00086101,0.162591,0.000422682,0.165838,244590,166994,27543608,1,9,124
16,0.010566,0.195082,1059,302,0,0.000764936,0.140045,0.000352083,0.142805,194460,138430,27543608,2,1,121
16,0.010566,0.195082,1059,302,0,0.00074603,0.13996,0.000389229,0.142758,194460,138430,27543608,2,2,121
16,0.010566,0.195082,1059,302,0,0.00069828,0.127471,0.000365003,0.130164,194460,138430,27543608,2,3,121
16,0.010566,0.195082,1059,302,0,0.000718806,0.140752,0.000370233,0.143511,194460,138430,27543608,2,4,121
16,0.010566,0.195082,1059,302,0,0.000684039,0.138604,0.000347191,0.141291,194460,138430,27543608,2,5,121
16,0.010566,0.195082,1059,302,0,0.000692034,0.135992,0.000351728,0.138662,194460,138430,27543608,2,6,121
16,0.010566,0.195082,1059,302,0,0.000675108,0.140167,0.000358853,0.142807,194460,138430,27543608,2,7,121
16,0.010566,0.195082,1059,302,0,0.000729571,0.135366,0.000381636,0.138071,194460,138430,27543608,2,8,121
16,0.010566,0.195082,1059,302,0,0.000741301,0.131206,0.000368459,0.133936,194460,138430,27543608,2,9,121
16,0.010566,0.195082,1059,302,0,0.000647259,0.116388,0.000310807,0.118814,166014,116425,27543608,3,1,120
16,0.010566,0.195082,1059,302,0,0.000671614,0.118987,0.000318724,0.121468,166014,116425,27543608,3,2,120
16,0.010566,0.195082,1059,302,0,0.000698004,0.118936,0.000319258,0.121453,166014,116425,27543608,3,3,120
16,0.010566,0.195082,1059,302,0,0.000608349,0.117075,0.000315444,0.119436,166014,116425,27543608,3,4,120
16,0.010566,0.195082,1059,302,0,0.000648328,0.114549,0.00031805,0.116981,166014,116425,27543608,3,5,120
16,0.010566,0.195082,1059,302,0,0.000690559,0.11553,0.000327986,0.11803,166014,116425,27543608,3,6,120
16,0.010566,0.195082,1059,302,0,0.000654129,0.117766,0.000332757,0.12026,166014,116425,27543608,3,7,120
16,0.010566,0.195082,1059,302,0,0.000684402,0.115198,0.00032676,0.117677,166014,116425,27543608,3,8,120
16,0.010566,0.195082,1059,302,0,0.000554516,0.119327,0.000330099,0.121665,166014,116425,27543608,3,9,120
16,0.010566,0.195082,1059,302,0,0.000744309,0.16422,0.000338287,0.167083,181700,116898,27543608,4,1,146
16,0.010566,0.195082,1059,302,0,0.000665653,0.1621,0.000352643,0.164709,181700,116898,27543608,4,2,146
16,0.010566,0.195082,1059,302,0,0.000719025,0.152103,0.000353111,0.154755,181700,116898,27543608,4,3,146
16,0.010566,0.195082,1059,302,0,0.000669344,0.152439,0.000332952,0.155027,181700,116898,27543608,4,4,146
16,0.010566,0.195082,1059,302,0,0.000698501,0.16273,0.000335078,0.165356,181700,116898,27543608,4,5,146
16,0.010566,0.195082,1059,302,0,0.000698411,0.155642,0.000338313,0.158241,181700,116898,27543608,4,6,146
16,0.010566,0.195082,1059,302,0,0.000713841,0.152232,0.000341847,0.154916,181700,116898,27543608,4,7,146
16,0.010566,0.195082,1059,302,0,0.000679233,0.161897,0.000342366,0.164549,181700,116898,27543608,4,8,146
16,0.010566,0.195082,1059,302,0,0.000686353,0.151229,0.000359009,0.15387,181700,116898,27543608,4,9,146
16,0.010566,0.195082,1059,302,0,0.000627841,0.130686,0.000296059,0.133082,161172,101615,27543608,5,1,133
16,0.010566,0.195082,1059,302,0,0.000646926,0.138379,0.000314434,0.140778,161172,101615,27543608,5,2,133
16,0.010566,0.195082,1059,302,0,0.000562766,0.133275,0.000306617,0.135564,161172,101615,27543608,5,3,133
16,0.010566,0.195082,1059,302,0,0.00060543,0.127214,0.000314532,0.129589,161172,101615,27543608,5,4,133
16,0.010566,0.195082,1059,302,0,0.000693969,0.132359,0.000311756,0.134842,161172,101615,27543608,5,5,133
16,0.010566,0.195082,1059,302,0,0.000641819,0.130421,0.000290049,0.132817,161172,101615,27543608,5,6,133
16,0.010566,0.195082,1059,302,0,0.000665082,0.122268,0.000331061,0.124748,161172,101615,27543608,5,7,133
16,0.010566,0.195082,1059,302,0,0.00063498,0.125949,0.000316106,0.128355,161172,101615,27543608,5,8,133
16,0.010566,0.195082,1059,302,0,0.000666867,0.125654,0.000322997,0.1281,161172,101615,27543608,5,9,133
16,0.010566,0.195082,1059,302,0,0.000547032,0.103708,0.000278945,0.105795,134064,87994,27543608,6,1,127
16,0.010566,0.195082,1059,302,0,0.0006081,0.113042,0.000268963,0.115162,134064,87994,27543608,6,2,127
16,0.010566,0.195082,1059,302,0,0.000571806,0.110357,0.000279149,0.112586,134064,87994,27543608,6,3,127
16,0.010566,0.195082,1059,302,0,0.000560701,0.109767,0.000256062,0.111866,134064,87994,27543608,6,4,127
